elec_demand_CO1,elec_demand_FL1,elec_demand_GC1,elec_demand_GC2,elec_demand_GC3,elec_demand_GC4,elec_demand_ID1,elec_demand_KY1,elec_demand_MT1,elec_demand_NE1,elec_demand_OK1,elec_demand_TX2,elec_demand_WY1,elec_demand_eastern0,elec_demand_eastern1,elec_demand_eastern2,elec_demand_eastern3,elec_demand_eastern4,elec_demand_eastern5,elec_demand_eastern6,elec_demand_western1,elec_demand_western2,elec_demand_western3
10904.0,38369.0,14560.0,21057.0,6480.0,13128.0,3770.0,13846.0,2349.0,6426.0,12495.0,49111.0,3455.0,158714.0,3954.0,38922.0,35308.0,121215.0,76198.0,24175.0,24318.0,57541.0,18943.0
11205.0,40555.0,14875.0,21513.0,6621.0,13752.0,3911.0,14147.0,2446.0,6437.0,12344.0,50176.0,3513.0,159897.0,4266.0,41709.0,36065.0,124306.0,79062.0,25691.0,25056.0,58813.0,19690.0
11570.0,41529.0,14634.0,21164.0,6513.0,13956.0,4223.0,14240.0,2586.0,6402.0,12069.0,49363.0,3590.0,162523.0,4366.0,42816.0,35996.0,124673.0,80001.0,26076.0,26642.0,61892.0,20580.0
11728.0,42244.0,14311.0,20696.0,6370.0,13878.0,4543.0,14318.0,2714.0,6412.0,12081.0,48272.0,3593.0,165135.0,4315.0,42951.0,35632.0,124521.0,80116.0,26473.0,28781.0,65134.0,20836.0
11943.0,42739.0,13765.0,19907.0,6127.0,13511.0,4676.0,14335.0,2773.0,6402.0,11820.0,46429.0,3684.0,167604.0,4342.0,42866.0,35228.0,125122.0,80163.0,26848.0,29661.0,66814.0,20724.0
11970.0,42407.0,13225.0,19125.0,5886.0,13047.0,4726.0,14214.0,2781.0,6406.0,11537.0,44607.0,3667.0,168655.0,4321.0,42980.0,34624.0,123573.0,79798.0,27275.0,29765.0,67919.0,20818.0
12330.0,41318.0,12730.0,18410.0,5666.0,12556.0,4751.0,14019.0,2817.0,6389.0,11118.0,42937.0,3744.0,167770.0,4337.0,42513.0,33704.0,120797.0,78599.0,27174.0,29795.0,69585.0,20793.0
12229.0,40252.0,12223.0,17676.0,5440.0,12120.0,4742.0,13885.0,2794.0,6230.0,10642.0,41227.0,3734.0,166735.0,4300.0,41831.0,32406.0,118156.0,77416.0,27163.0,29932.0,71439.0,20711.0
11883.0,39144.0,11918.0,17235.0,5304.0,11629.0,4610.0,13649.0,2707.0,6111.0,10301.0,40197.0,3700.0,167434.0,4198.0,41123.0,31335.0,115653.0,75617.0,27295.0,29817.0,71153.0,20393.0
11630.0,38667.0,11710.0,16935.0,5212.0,11366.0,4493.0,13462.0,2671.0,6087.0,10276.0,39495.0,3688.0,170134.0,4169.0,40366.0,30735.0,114140.0,74337.0,28085.0,29577.0,69070.0,20107.0
11525.0,39850.0,11696.0,16914.0,5205.0,11417.0,4346.0,13730.0,2634.0,6251.0,10687.0,39448.0,3675.0,177784.0,4166.0,40010.0,31130.0,115578.0,75071.0,29585.0,29198.0,67980.0,19876.0
11473.0,44151.0,12130.0,17542.0,5399.0,11766.0,4260.0,14220.0,2619.0,6298.0,11206.0,40913.0,3667.0,181029.0,4139.0,40464.0,31935.0,121229.0,77484.0,31324.0,28815.0,66824.0,19840.0
11677.0,50251.0,12817.0,18536.0,5705.0,12580.0,4257.0,14563.0,2671.0,6268.0,11250.0,43230.0,3721.0,182053.0,4264.0,41774.0,33091.0,128007.0,79366.0,31950.0,28764.0,66101.0,20065.0
12136.0,52165.0,13055.0,18881.0,5811.0,13234.0,4479.0,14582.0,2796.0,6234.0,11301.0,44036.0,3764.0,180996.0,4269.0,41965.0,33862.0,129603.0,79800.0,31901.0,29835.0,67314.0,20870.0
12305.0,52474.0,13098.0,18942.0,5830.0,13527.0,4661.0,14411.0,2847.0,6078.0,11097.0,44178.0,3811.0,177195.0,4254.0,41302.0,33921.0,129242.0,78671.0,31434.0,30880.0,71278.0,21739.0
12233.0,51440.0,12859.0,18597.0,5723.0,13469.0,4665.0,14011.0,2860.0,5882.0,10673.0,43375.0,3771.0,172078.0,4133.0,40127.0,33178.0,127690.0,76396.0,30385.0,31062.0,73022.0,21712.0
11995.0,49524.0,12440.0,17990.0,5537.0,13266.0,4611.0,13506.0,2788.0,5610.0,10235.0,41960.0,3722.0,166203.0,3955.0,38335.0,32058.0,125224.0,73142.0,29102.0,30656.0,72683.0,21344.0
11675.0,47191.0,11933.0,17258.0,5311.0,12776.0,4501.0,13045.0,2681.0,5481.0,9958.0,40249.0,3654.0,162492.0,3751.0,36518.0,30881.0,122895.0,70050.0,27850.0,29958.0,70853.0,20840.0
11153.0,45909.0,11592.0,16765.0,5159.0,12361.0,4315.0,12734.0,2548.0,5340.0,9743.0,39101.0,3548.0,160882.0,3500.0,34924.0,29955.0,121160.0,67558.0,27338.0,28793.0,68486.0,19974.0
10770.0,46117.0,11454.0,16565.0,5098.0,12143.0,4104.0,12655.0,2432.0,5368.0,9693.0,38636.0,3503.0,163220.0,3812.0,34857.0,29544.0,121311.0,67016.0,27416.0,27221.0,65248.0,19198.0
10708.0,46540.0,11546.0,16697.0,5139.0,12253.0,3908.0,12661.0,2375.0,5420.0,9937.0,38942.0,3463.0,164016.0,3838.0,34884.0,29946.0,121481.0,66969.0,27314.0,25817.0,62251.0,18752.0
11017.0,46317.0,11639.0,16833.0,5180.0,12279.0,3844.0,12425.0,2398.0,5456.0,10090.0,39258.0,3521.0,161920.0,3770.0,34434.0,30132.0,120177.0,65561.0,26677.0,25125.0,61400.0,18847.0
11287.0,47263.0,11656.0,16857.0,5188.0,12126.0,3874.0,12509.0,2363.0,5499.0,10234.0,39317.0,3565.0,167115.0,3788.0,33347.0,29907.0,121266.0,64754.0,27167.0,25159.0,61968.0,19037.0
11059.0,50115.0,12239.0,17699.0,5447.0,12462.0,3870.0,13034.0,2281.0,5821.0,10995.0,41280.0,3503.0,175475.0,3857.0,33667.0,31178.0,125357.0,66176.0,28719.0,24988.0,60808.0,19019.0
11230.0,54102.0,13159.0,19031.0,5857.0,13072.0,3850.0,13630.0,2299.0,6104.0,11371.0,44388.0,3482.0,180174.0,3910.0,35281.0,32665.0,131369.0,69523.0,30708.0,24540.0,58762.0,19281.0
11551.0,55558.0,13455.0,19458.0,5988.0,13546.0,3984.0,13867.0,2383.0,6040.0,11193.0,45383.0,3548.0,179000.0,4270.0,37849.0,33268.0,133318.0,71834.0,32003.0,25281.0,59959.0,20096.0
12132.0,53735.0,13167.0,19043.0,5861.0,13508.0,4289.0,13824.0,2536.0,6007.0,10907.0,44413.0,3613.0,177556.0,4438.0,38980.0,32959.0,130463.0,72002.0,31729.0,26816.0,62825.0,21079.0
12570.0,50816.0,12934.0,18705.0,5756.0,13096.0,4635.0,13792.0,2679.0,6095.0,10917.0,43627.0,3647.0,176078.0,4483.0,39226.0,32568.0,126053.0,72627.0,31122.0,28855.0,66576.0,21425.0
12710.0,47657.0,12551.0,18151.0,5586.0,12567.0,4746.0,13685.0,2738.0,6185.0,10706.0,42335.0,3722.0,173931.0,4510.0,39557.0,32013.0,122489.0,73329.0,30699.0,29864.0,67838.0,21257.0
12581.0,44356.0,12227.0,17683.0,5442.0,11969.0,4820.0,13453.0,2785.0,6127.0,10469.0,41243.0,3727.0,170440.0,4566.0,40622.0,31311.0,117534.0,72670.0,29900.0,29802.0,68748.0,21004.0
12565.0,41320.0,11961.0,17299.0,5324.0,11425.0,4787.0,13220.0,2838.0,6075.0,10215.0,40346.0,3795.0,166937.0,4615.0,40697.0,30527.0,112450.0,71947.0,28919.0,29832.0,70379.0,20891.0
12314.0,38877.0,11699.0,16919.0,5207.0,10985.0,4802.0,12886.0,2864.0,5944.0,9868.0,39462.0,3729.0,163866.0,4480.0,40584.0,29680.0,108103.0,70607.0,28238.0,29910.0,71841.0,20595.0
11681.0,36935.0,11444.0,16550.0,5093.0,10644.0,4690.0,12517.0,2802.0,5824.0,9710.0,38600.0,3703.0,162465.0,4382.0,39767.0,28892.0,104174.0,69337.0,27868.0,29998.0,71280.0,20256.0
11403.0,36161.0,11292.0,16331.0,5026.0,10511.0,4479.0,12396.0,2714.0,5786.0,9687.0,38089.0,3692.0,164209.0,4314.0,38869.0,28532.0,102089.0,68693.0,28128.0,29813.0,68991.0,19919.0
11200.0,36582.0,11303.0,16346.0,5031.0,10468.0,4335.0,12547.0,2639.0,5984.0,10039.0,38125.0,3672.0,169881.0,4280.0,38795.0,28927.0,102358.0,69642.0,29074.0,29578.0,67851.0,19703.0
11135.0,39939.0,11620.0,16805.0,5172.0,10751.0,4221.0,12940.0,2643.0,6079.0,10547.0,39195.0,3698.0,171514.0,4323.0,39513.0,29746.0,106931.0,71606.0,30076.0,29263.0,66680.0,19720.0
11370.0,45170.0,12160.0,17587.0,5412.0,11375.0,4222.0,13341.0,2701.0,6075.0,10688.0,41019.0,3756.0,171046.0,4568.0,40566.0,30726.0,113003.0,73418.0,30295.0,29458.0,66442.0,20004.0
